Returns,Price
111.9450524,111.9450524
110.6262185,110.0961261
112.2004844,111.1404962
120.2818239,118.60335
126.7573712,124.4337883
128.2682677,125.3535046
126.4498033,123.012879
130.6907184,126.5660277
129.5374258,124.8900531
121.527872,116.6173739
123.425366,117.8877157
123.8041183,117.7114128
127.5114945,120.6914486
128.619349,121.1881212
131.4530946,123.3076612
132.7480164,123.9772507
133.338933,123.9772507
133.6209685,123.6769513
135.4319998,124.7756095
133.4841552,122.4007999
130.7787554,119.3374092
134.9076908,122.5026708
131.1210659,118.4724693
136.9471311,123.1293761
138.7084908,124.100811
137.4523908,122.3730488
137.0687251,121.4225785
135.884015,119.7592555
139.8743821,122.6436587
142.8644688,124.6085829
143.3366197,124.3583648
144.1056961,124.3583648
133.8667979,114.8500794
125.8507512,107.279336
126.0743359,106.7488
135.5383307,114.0524865
141.5302349,118.3958524
146.6174268,121.9528094
145.3192517,120.1743309
144.3910771,118.6971579
142.6018676,116.5111412
146.2961504,118.7970177
146.0203746,117.8464475
148.4358537,119.0633788
151.6735485,120.9279059
154.7547517,122.6400171
158.3578822,124.744773
158.2712532,123.9258795
159.2226819,123.9258795
159.8218127,123.652915
162.8868282,125.2907019
164.6029222,125.8887593
163.1801079,124.0662279
163.6018865,123.6458788
164.9481159,123.9281753
165.2586865,123.4384222
166.1269548,123.3635822
164.4321051,121.3875066
169.5220757,124.4272798
171.974727,125.5094804
178.0489504,129.2182134
181.44226,130.956575
182.0443914,130.6668481
177.7497298,126.8535258
178.5406106,126.6604103
183.3750907,129.3111082
182.2704215,127.7531431
174.1807151,121.3113756
163.1268792,112.8481735
160.3785996,110.1963082
156.984673,107.1204455
154.4197925,104.6395444
151.4904027,101.9585024
147.3750275,98.49642995
147.4591182,97.85166939
134.0234752,88.27715152
132.5781281,86.70045032
131.0499193,85.0648977
136.4659433,87.97389835
152.6537341,97.80369643
164.6695382,104.9151902
169.1094322,107.1818765
170.7503299,107.6736039
171.0558648,107.3433168
177.2028774,110.6639124
176.0556155,109.4075725
184.0782177,113.8441022
192.1196889,118.264837
200.0424231,122.573687
209.8199292,127.9861138
212.6565945,129.1467689
209.4034333,126.6105449
214.5752935,129.1794546
215.4543929,129.1467689
218.2184022,130.2380688
222.9725539,132.4993784
229.6817469,135.9114148
236.2856573,139.2458892
236.1300367,138.5689005
247.747997,144.7891758
259.9508454,151.3181306
265.4006796,153.8752528
268.6725309,155.1586923
271.738878,156.3108608
273.3055847,156.6090129
287.9795104,164.4414809
289.0066055,164.476657
280.8863695,159.3156593
284.3441006,160.7394753
290.3258992,163.5705032
294.1101784,165.1443069
299.7808831,167.7347795
285.5356432,159.1386722
293.8171123,163.1015817
308.5130795,170.5926773
320.8289709,176.7217555
318.191876,174.5810673
328.6856557,179.6365036
343.7544406,187.1630924
355.5829038,192.8876831
382.0594971,206.5132873
378.3908834,203.7871583
384.0892334,206.0991682
380.4919513,203.4058514
403.0611981,214.6866336
409.5205122,217.3289306
392.8103995,207.6570991
377.5991255,198.8140714
367.9047581,192.9252157
360.172164,188.0802891
367.4551266,191.0731336
358.3528456,185.5168874
354.5765261,182.7387643
345.1609387,177.0707112
346.1544935,176.7648896
344.5604867,175.1428641
338.870389,171.4498419
335.6208303,169.0122585
359.3427229,180.1574521
368.3705603,183.8900982
383.9116865,190.8326836
378.5994709,187.3689695
367.4810621,181.0355515
374.5968773,183.7022574
